 compound; masstime; test; p_orig; p_FDR; p_Bonf; FC; ms; gaps1; gaps2
nan;335.1057@6.641;aSYN--UT;0.000001;0.000493;0.006430;-3.056271;1.175006;10;0
nan;218.98364@0.461;comb.--UT;0.000126;0.019396;0.703694;1.013554;0.000000;0;0
nan;232.99922@0.461;comb.--UT;0.000129;0.019650;0.719325;1.047836;0.000000;0;0
nan;138.0526@0.586;comb.--UT;0.000297;0.036863;1.000000;1.544688;0.000000;0;0
nan;560.07853@0.594;comb.--UT;0.000000;0.000000;0.000000;5.315106;4.393054;0;10
nan;428.03655@0.595;comb.--UT;0.000375;0.044374;1.000000;1.775923;0.000000;0;0
Acetyl-L-carnitine;204.12317@0.595;comb.--UT;0.000049;0.009292;0.271964;1.189784;0.000000;0;0
nan;146.0925@0.597;comb.--UT;0.000000;0.000010;0.000060;1.219700;0.430273;0;0
nan;229.15476@0.597;comb.--UT;0.000066;0.011695;0.367126;-1.558542;0.000000;1;0
nan;655.15378@0.601;comb.--UT;0.000004;0.001387;0.024867;1.781597;0.273262;0;0
nan;671.1488@0.601;comb.--UT;0.000006;0.001865;0.035040;2.120003;0.451521;0;2
nan;233.05917@0.603;comb.--UT;0.000001;0.000513;0.006861;1.210915;0.302028;0;0
nan;233.05898@0.604;comb.--UT;0.000001;0.000478;0.006173;1.218166;0.294560;0;0
nan;165.55374@0.606;comb.--UT;0.000000;0.000205;0.002139;1.227165;0.251941;0;0
L-Glutathione (reduced);308.09103@0.606;comb.--UT;0.000002;0.000679;0.010109;1.128985;0.152373;0;0
L-Cysteinyl-glycine;179.04856@0.606;comb.--UT;0.000002;0.000613;0.008796;1.170170;0.167862;0;0
nan;384.0337@0.613;comb.--UT;0.000360;0.042948;1.000000;1.027882;0.000000;0;0
nan;248.14924@0.619;comb.--UT;0.000000;0.000000;0.000001;1.840724;0.923426;0;0
nan;204.12309@0.813;comb.--UT;0.000051;0.009522;0.283400;1.521405;0.000000;0;0
nan;442.03908@0.897;comb.--UT;0.000075;0.013115;0.420846;1.912982;0.000000;0;0
γ-L-Glutamyl-L-cysteine;233.05907@0.907;comb.--UT;0.000001;0.000546;0.007526;1.361534;0.167697;0;0
nan;233.05906@0.911;comb.--UT;0.000001;0.000546;0.007526;1.361534;0.167697;0;0
L-Glutathione (reduced);308.09096@0.912;comb.--UT;0.000000;0.000252;0.002794;1.243223;0.295688;0;0
L-Cysteinyl-glycine;179.04853@0.912;comb.--UT;0.000001;0.000551;0.007666;1.331171;0.248779;0;0
nan;165.55342@0.912;comb.--UT;0.000001;0.000367;0.004464;1.249537;0.275315;0;0
nan;361.00224@0.914;comb.--UT;0.000000;0.000079;0.000666;1.110067;0.511504;0;0
Nicotinamide;123.05548@0.964;comb.--UT;0.000000;0.000000;0.000000;2.998532;1.845914;0;0
nan;176.03759@1.518;comb.--UT;0.000082;0.014042;0.460646;2.779839;0.000000;0;0
nan;221.09203@1.709;comb.--UT;0.000000;0.000000;0.000000;3.396610;2.990271;0;10
L-Kynurenine;209.09209@1.971;comb.--UT;0.000000;0.000000;0.000000;5.495509;4.572032;0;9
nan;237.08689@2.193;comb.--UT;0.000000;0.000000;0.000001;3.965085;1.944973;0;9
nan;232.1543@2.296;comb.--UT;0.000119;0.018719;0.666964;1.522168;0.290017;0;0
nan;136.03938@2.533;comb.--UT;0.000000;0.000004;0.000020;5.280448;4.235856;0;10
3-Amino-5-hydroxybenzoate;136.03938@2.535;comb.--UT;0.000000;0.000003;0.000018;5.298278;4.196568;0;10
nan;244.15427@2.905;comb.--UT;0.000002;0.000879;0.013751;1.242490;0.076149;0;0
nan;159.09168@2.936;comb.--UT;0.000000;0.000000;0.000000;-3.858562;3.351184;10;0
nan;146.0601@2.937;comb.--UT;0.000000;0.000000;0.000000;-3.615487;3.147164;10;0
Indole-3-acrylic acid;188.07063@2.939;comb.--UT;0.000000;0.000000;0.000000;-4.273550;3.442333;0;0
nan;287.58525@3.105;comb.--UT;0.000001;0.000477;0.006113;-3.950462;0.148579;6;0
5'-S-Methyl-5'-thioadenosine;298.09662@3.131;comb.--UT;0.000013;0.003554;0.074131;1.274007;0.285366;0;0
nan;261.14432@3.455;comb.--UT;0.000015;0.003945;0.086126;2.160033;0.780690;0;0
4-(allyloxy)-1,2-dihydroquinolin-2-one;219.11276@3.95;comb.--UT;0.000000;0.000000;0.000001;3.413277;1.918993;0;0
nan;335.1057@6.641;comb.--UT;0.000001;0.000505;0.006692;-3.026133;1.121570;10;0
nan;372.31038@8.908;comb.--UT;0.000000;0.000142;0.001328;1.545753;0.466231;0;0
Sphingosine (d18:1);300.28953@9.014;comb.--UT;0.000308;0.037864;1.000000;1.311323;0.000000;0;0
nan;468.30817@9.945;comb.--UT;0.000381;0.044675;1.000000;1.238769;0.000000;0;0
nan;494.32358@9.975;comb.--UT;0.000044;0.008827;0.248333;1.207329;0.000000;0;0
nan;454.29262@10.378;comb.--UT;0.000078;0.013504;0.437128;1.228604;0.000000;0;1
nan;522.35528@10.489;comb.--UT;0.000000;0.000154;0.001509;1.176095;0.186880;0;0
nan;454.29257@10.501;comb.--UT;0.000037;0.007603;0.208116;1.397558;0.000000;0;0
nan;480.30809@10.612;comb.--UT;0.000004;0.001314;0.023330;1.234352;0.000000;0;0
nan;480.34491@10.694;comb.--UT;0.000003;0.000992;0.016383;-2.154013;0.859968;10;0
nan;367.33593@10.806;comb.--UT;0.000243;0.031770;1.000000;2.480693;0.379020;0;0
7-Dehydrocholesterol;367.33582@10.807;comb.--UT;0.000243;0.031770;1.000000;2.480693;0.379020;0;0
nan;465.39376@10.955;comb.--UT;0.000038;0.007676;0.210956;2.818663;1.001232;0;1
nan;463.37764@11.133;comb.--UT;0.000000;0.000041;0.000304;2.492164;0.200967;0;5
nan;449.39861@11.185;comb.--UT;0.000064;0.011499;0.359747;2.152875;0.000000;0;1
nan;471.3807@11.193;comb.--UT;0.000027;0.006279;0.153460;3.393255;1.142962;0;8
nan;463.37762@11.426;comb.--UT;0.000017;0.004348;0.097293;2.327916;0.674307;0;3
(22R)-Hydroxycholesterol;403.35658@11.437;comb.--UT;0.000059;0.010725;0.329818;1.526158;0.156354;0;5
4α-Hydroxymethyl-4β-methyl-5α-cholesta-8,24-dien-3β-ol;429.37214@11.849;comb.--UT;0.000067;0.011765;0.371908;1.544614;0.000000;0;6
nan;463.37773@11.889;comb.--UT;0.000040;0.007993;0.221394;1.133388;0.000000;0;0
nan;447.38296@11.928;comb.--UT;0.000000;0.000205;0.002110;1.083142;0.411275;0;0
nan;447.38291@12.121;comb.--UT;0.000000;0.000002;0.000008;1.560137;0.627390;0;0
nan;675.5427@12.209;comb.--UT;0.000001;0.000454;0.005765;1.296512;0.321070;0;0
nan;447.38294@12.32;comb.--UT;0.000002;0.000660;0.009676;1.678456;0.372388;0;0
nan;405.3724@12.375;comb.--UT;0.000000;0.000003;0.000016;2.362697;1.134257;0;2
nan;447.38295@12.426;comb.--UT;0.000000;0.000064;0.000512;1.319825;0.441194;0;0
nan;506.45656@12.44;comb.--UT;0.000000;0.000133;0.001217;1.488542;0.560764;0;0
nan;677.55832@12.447;comb.--UT;0.000000;0.000082;0.000707;2.072296;0.956074;0;0
nan;169.086@12.461;comb.--UT;0.000034;0.007156;0.190472;1.233106;0.000000;0;0
nan;478.4252@12.465;comb.--UT;0.000000;0.000036;0.000261;2.372241;1.623126;0;9
5-Henicosyl-1,3-benzenediol;405.37236@12.466;comb.--UT;0.000000;0.000016;0.000097;1.933980;1.059438;0;0
nan;464.40964@12.468;comb.--UT;0.000002;0.000602;0.008542;1.890072;0.795283;0;0
nan;496.43615@12.483;comb.--UT;0.000000;0.000022;0.000149;2.938289;1.420266;0;6
nan;692.52148@12.538;comb.--UT;0.000000;0.000175;0.001769;2.898759;0.582829;0;5
nan;447.38296@12.568;comb.--UT;0.000000;0.000227;0.002466;1.966951;0.865599;0;0
nan;405.3723@12.569;comb.--UT;0.000000;0.000071;0.000585;2.125973;0.934937;0;0
nan;447.38284@12.572;comb.--UT;0.000000;0.000115;0.001038;2.007955;0.865599;0;0
nan;169.08602@12.58;comb.--UT;0.000155;0.023118;0.866391;1.134251;0.000000;0;0
nan;506.45665@12.679;comb.--UT;0.000000;0.000016;0.000100;2.365862;1.109489;0;7
4α-Hydroxymethyl-4β-methyl-5α-cholesta-8,24-dien-3β-ol;429.37249@12.68;comb.--UT;0.000001;0.000354;0.004269;1.723256;0.474540;0;0
nan;469.36492@12.68;comb.--UT;0.000001;0.000269;0.003012;1.908456;0.445488;0;0
nan;429.37251@12.68;comb.--UT;0.000001;0.000354;0.004269;1.723256;0.474540;0;0
nan;1077.34125@12.743;comb.--UT;0.000136;0.020555;0.759169;1.125061;0.016815;0;0
nan;1076.83938@12.747;comb.--UT;0.000158;0.023440;0.883547;1.234982;0.000000;0;0
nan;764.55775@12.93;comb.--UT;0.000001;0.000417;0.005215;-4.058616;2.304163;8;0
nan;690.50596@12.937;comb.--UT;0.000144;0.021486;0.802869;1.320751;0.000000;0;0
nan;722.51115@12.942;comb.--UT;0.000019;0.004666;0.106940;-1.041837;0.029985;0;0
nan;744.04584@12.949;comb.--UT;0.000311;0.038033;1.000000;1.429682;0.000000;0;0
nan;720.55318@13.021;comb.--UT;0.000025;0.005725;0.137444;2.408263;0.000000;0;4
nan;705.58999@13.055;comb.--UT;0.000010;0.002863;0.056908;1.345881;0.173041;0;0
nan;738.53986@13.279;comb.--UT;0.000020;0.004832;0.112857;-1.569508;0.000000;0;0
nan;768.55058@13.285;comb.--UT;0.000002;0.000677;0.009997;1.855023;0.611485;0;0
nan;764.55557@13.34;comb.--UT;0.000327;0.039693;1.000000;-2.669814;0.000000;0;0
nan;766.57323@13.345;comb.--UT;0.000081;0.013950;0.454600;-3.272024;1.473466;1;0
nan;788.5558@13.347;comb.--UT;0.000000;0.000009;0.000050;-3.172754;0.357600;5;0
nan;676.52678@13.42;comb.--UT;0.000010;0.002857;0.056481;3.216173;0.251167;0;0
nan;718.57388@13.441;comb.--UT;0.000163;0.023961;0.908669;1.530886;0.184734;0;0
nan;791.57886@13.461;comb.--UT;0.000000;0.000189;0.001931;-1.648129;0.663152;0;0
nan;742.5736@13.469;comb.--UT;0.000000;0.000207;0.002188;-2.035665;0.856976;0;0
nan;764.55536@13.472;comb.--UT;0.000000;0.000017;0.000104;-2.321059;1.060735;0;0
nan;768.58903@13.709;comb.--UT;0.000289;0.036127;1.000000;-3.337364;1.006394;4;0
nan;786.59982@13.82;comb.--UT;0.000001;0.000505;0.006638;1.079570;0.004230;0;0
nan;718.57387@13.924;comb.--UT;0.000116;0.018234;0.647683;-1.280452;0.000000;0;0
nan;746.60485@14.306;comb.--UT;0.000039;0.007886;0.217596;1.428854;0.090143;0;0
nan;747.60806@14.313;comb.--UT;0.000093;0.015269;0.521391;1.294620;0.000000;0;0
nan;730.57343@14.433;comb.--UT;0.000001;0.000516;0.006945;2.488185;0.000000;0;5
nan;811.66758@14.55;comb.--UT;0.000049;0.009292;0.273366;1.694123;0.000000;0;9
nan;810.59685@14.682;comb.--UT;0.000253;0.032778;1.000000;1.418783;0.000000;0;0
nan;610.54005@14.703;comb.--UT;0.000032;0.006903;0.179515;-1.479570;0.000000;1;0
nan;814.63113@14.822;comb.--UT;0.000172;0.024897;0.960075;1.729979;0.000000;0;0
nan;814.63125@15.025;comb.--UT;0.000094;0.015269;0.524108;1.557184;0.000000;0;1
nan;279.19135@0.55;INFg--UT;0.000000;0.000145;0.001367;1.883100;0.313095;0;2
nan;138.0526@0.586;INFg--UT;0.000222;0.030113;1.000000;1.715117;0.000000;0;0
nan;560.07853@0.594;INFg--UT;0.000000;0.000000;0.000001;5.298095;4.013512;0;10
Acetyl-L-carnitine;204.12317@0.595;INFg--UT;0.000028;0.006284;0.156306;1.336458;0.000000;0;0
nan;146.0925@0.597;INFg--UT;0.000000;0.000000;0.000000;1.364285;0.640820;0;0
nan;229.15476@0.597;INFg--UT;0.000164;0.024062;0.917437;-1.566288;0.000000;3;0
nan;655.15378@0.601;INFg--UT;0.000087;0.014503;0.486817;1.554625;0.000000;0;0
nan;165.55374@0.606;INFg--UT;0.000035;0.007243;0.194348;1.057552;0.000000;0;0
nan;248.14924@0.619;INFg--UT;0.000000;0.000000;0.000000;1.792950;1.116914;0;0
nan;204.12309@0.813;INFg--UT;0.000045;0.008907;0.252522;1.745426;0.000000;0;0
nan;442.03908@0.897;INFg--UT;0.000232;0.030965;1.000000;1.599138;0.000000;0;0
γ-L-Glutamyl-L-cysteine;233.05907@0.907;INFg--UT;0.000060;0.010807;0.335737;1.048925;0.000000;0;0
nan;233.05906@0.911;INFg--UT;0.000060;0.010807;0.335737;1.048925;0.000000;0;0
L-Glutathione (reduced);308.09096@0.912;INFg--UT;0.000005;0.001678;0.030620;1.072299;0.000000;0;0
L-Cysteinyl-glycine;179.04853@0.912;INFg--UT;0.000008;0.002217;0.042397;1.179906;0.000000;0;0
nan;165.55342@0.912;INFg--UT;0.000006;0.001793;0.033303;1.099668;0.000000;0;0
Nicotinamide;123.05548@0.964;INFg--UT;0.000000;0.000001;0.000006;2.896483;1.655325;0;0
nan;221.09203@1.709;INFg--UT;0.000000;0.000010;0.000056;3.737655;3.056148;0;10
L-Kynurenine;209.09209@1.971;INFg--UT;0.000000;0.000000;0.000000;5.823658;4.934324;0;9
nan;237.08689@2.193;INFg--UT;0.000000;0.000000;0.000000;4.211499;2.120738;0;9
4-(dimethylamino)benzaldehyde N-(4,5-dihydro-1H-imidazol-2-yl)hydrazone;232.1543@2.215;INFg--UT;0.000036;0.007324;0.199685;1.008286;0.160505;0;0
nan;232.1543@2.296;INFg--UT;0.000127;0.019486;0.709085;1.487125;0.255375;0;0
nan;136.03938@2.533;INFg--UT;0.000000;0.000001;0.000004;5.043838;4.209970;0;10
3-Amino-5-hydroxybenzoate;136.03938@2.535;INFg--UT;0.000000;0.000001;0.000004;5.061668;4.170683;0;10
nan;244.15427@2.905;INFg--UT;0.000008;0.002451;0.047391;1.332052;0.169771;0;0
nan;159.09168@2.936;INFg--UT;0.000000;0.000000;0.000000;-3.852050;3.279166;9;0
nan;146.0601@2.937;INFg--UT;0.000000;0.000000;0.000000;-3.593522;3.087960;8;0
Indole-3-acrylic acid;188.07063@2.939;INFg--UT;0.000000;0.000000;0.000000;-4.132011;2.956120;0;0
nan;287.58525@3.105;INFg--UT;0.000000;0.000158;0.001560;-4.349999;1.076098;6;0
nan;246.16991@3.106;INFg--UT;0.000001;0.000282;0.003181;1.077941;0.303997;0;0
5'-S-Methyl-5'-thioadenosine;298.09662@3.131;INFg--UT;0.000034;0.007098;0.187359;1.156215;0.033144;0;0
nan;261.14432@3.455;INFg--UT;0.000001;0.000336;0.003948;1.778932;0.784755;0;0
4-(allyloxy)-1,2-dihydroquinolin-2-one;219.11276@3.95;INFg--UT;0.000000;0.000000;0.000000;4.128497;2.863840;0;0
nan;406.16384@4.268;INFg--UT;0.000034;0.007144;0.189360;1.003942;0.000000;0;0
nan;372.31038@8.908;INFg--UT;0.000001;0.000308;0.003580;1.404038;0.379419;0;0
